
Caduta rilevata nel video numero 1
Caduta rilevata nel video numero 2
Caduta rilevata nel video numero 3
Caduta rilevata nel video numero 4
Nessuna caduta rilevata nel video numero 5                  X
Caduta rilevata nel video numero 6
Caduta rilevata nel video numero 7
Caduta rilevata nel video numero 8
Nessuna caduta rilevata nel video numero 9                  X
Caduta rilevata nel video numero 10
Nessuna caduta rilevata nel video numero 11                 X
Caduta rilevata nel video numero 12
Caduta rilevata nel video numero 13
Nessuna caduta rilevata nel video numero 14                 X
Caduta rilevata nel video numero 15
Caduta rilevata nel video numero 16
Caduta rilevata nel video numero 17
Nessuna caduta rilevata nel video numero 18 
Caduta rilevata nel video numero 19                         X
Nessuna caduta rilevata nel video numero 20
Caduta rilevata nel video numero 21                         X
Nessuna caduta rilevata nel video numero 22  
Nessuna caduta rilevata nel video numero 23  
Caduta rilevata nel video numero 24                         X
Nessuna caduta rilevata nel video numero 25  
Nessuna caduta rilevata nel video numero 26  
Nessuna caduta rilevata nel video numero 27 
Nessuna caduta rilevata nel video numero 28
Nessuna caduta rilevata nel video numero 29
Nessuna caduta rilevata nel video numero 30
Caduta rilevata nel video numero 31                         X
Nessuna caduta rilevata nel video numero 32
Nessuna caduta rilevata nel video numero 33
